name;lat;lon;pop;textsize
les Escaldes;42.50729;1.53414;15853;3
Encamp;42.53474;1.58014;11223;2
Andorra la Vella;42.50779;1.52109;20430;4
Umm al Qaywayn;25.56473;55.55517;44411;8
Ra’s al Khaymah;25.78953;55.9432;115949;23
Khawr Fakkān;25.33132;56.34199;33575;6
Dubai;25.25817;55.30472;1137347;227
Dibā;25.61955;56.27291;26395;5
Sharjah;25.35731;55.4033;543733;108
Ar Ruways;24.11028;52.73056;16000;3
Al Fujayrah;25.11641;56.34141;62415;12
Al ‘Ayn;24.19167;55.76056;408733;81
`Ajmān;25.41111;55.43504;226172;45
Adh Dhayd;25.28812;55.88157;24716;4
Abu Dhabi;24.46667;54.36667;603492;120
Kuhsān;34.65389;61.19778;12087;2
Tukzār;35.94831;66.42132;12021;2
Zindah Jān;34.34264;61.74675;10104;2
Zarghūn Shahr;32.84734;68.44573;13737;2
Taloqan;36.73605;69.53451;64256;12
Shīnḏanḏ;33.30294;62.1474;29264;5
Shibirghān;36.66757;65.7529;55641;11
Shahrak;34.10738;64.3052;15967;3
Sar-e Pul;36.21544;65.93249;52121;10
Sangīn;32.07275;64.8359;13579;2
Sang-e Chārak;35.84972;66.43694;15377;3
Aībak;36.26468;68.01551;47823;9
Rūdbār;30.15;62.6;11034;2
Rustāq;37.12604;69.83045;25636;5
Qarqīn;37.41853;66.04358;15018;3
Qarāwul;37.22019;68.78041;24544;4
Qarah Bāgh;34.94023;61.77589;12412;2
Qalāt;32.10575;66.90833;12191;2
Pul-e Khumrī;35.94458;68.71512;56369;11
Pul-e ‘Alam;33.99529;69.02274;13247;2
Panjāb;34.38795;67.02327;13471;2
Paghmān;34.58787;68.95091;49157;9
Uruzgān;32.92775;66.63253;13388;2
Nahrīn;36.0649;69.13343;22363;4
Mīrābād;30.43624;61.8383;14160;2
Maymana;35.92139;64.78361;75900;15
Mehtar Lām;34.67139;70.20944;17345;3
Mazār-e Sharīf;36.70904;67.11087;303282;60
Lashkar Gāh;31.59382;64.37161;43934;8
Larkird;35.48936;66.66409;11635;2
Kushk;33.29565;61.95221;16952;3
Kunduz;36.72896;68.857;161902;32
Khōst;33.33951;69.92041;96123;19
Khulm;36.69736;67.69826;64933;12
Khāsh;31.52919;62.79055;15133;3
Khanabad;36.6825;69.11556;71531;14
Karukh;34.48108;62.5863;17484;3
Kandahār;31.61332;65.71013;391190;78
Kabul;34.52813;69.17233;3043532;608
Jurm;36.86477;70.83421;12106;2
Jalālābād;34.42647;70.45153;200331;40
Jabal os Saraj;35.11833;69.23778;15032;3
Herāt;34.34817;62.19967;272806;54
Ghormach;35.73062;63.78264;30000;6
Ghazni;33.55356;68.42689;141000;28
Gereshk;31.82089;64.57005;43588;8
Gardēz;33.59744;69.22592;103601;20
Fayzabad;37.11664;70.58002;44421;8
Farkhār;36.57288;69.85783;10480;2
Farāh;32.37451;62.11638;43561;8
Kafir Qala;34.66667;61.06667;18086;3
Chīras;35.41674;65.98234;12779;2
Charikar;35.01361;69.17139;53676;10
Chahār Burj;34.24475;62.19165;11935;2
Barakī Barak;33.96744;68.9492;22305;4
Balkh;36.75635;66.8972;114883;22
Baghlān;36.13068;68.70829;108449;21
Ḩukūmatī Azrah;34.17355;69.64573;12526;2
Ārt Khwājah;37.08571;69.47958;18623;3
Āsmār;35.03333;71.35809;15708;3
Ashkāsham;36.68333;71.53333;12120;2
Asadābād;34.87311;71.14697;48400;9
Andkhōy;36.95293;65.12376;29208;5
Anār Darah;32.7587;61.65397;10023;2
Markaz-e Woluswalī-ye Āchīn;34.12583;70.70778;15098;3
Cool űrhajó;34.26545;67.34516;58525;11
Saint John’s;17.11667;-61.85;24226;4
Sarandë;39.87556;20.00528;15147;3
Tepelenë;40.29583;20.01917;11955;2
Poliçan;40.61222;20.09806;10663;2
Peshkopi;41.685;20.42889;14848;2
Përmet;40.23361;20.35167;10686;2
Kukës;42.07694;20.42194;17832;3
Korçë;40.61861;20.78083;58259;11
Gramsh;40.86972;20.18444;11556;2
Gjirokastër;40.07583;20.13889;23437;4
Elbasan;41.1125;20.08222;100903;20
Çorovodë;40.50417;20.22722;14046;2
Burrel;41.61028;20.00889;15405;3
Bulqizë;41.49167;20.22194;11212;2
Librazhd-Qendër;41.19694;20.33556;12691;2
Vlorë;40.46667;19.48972;89546;17
Tirana;41.3275;19.81889;374801;74
Shkodër;42.06828;19.51258;88245;17
Shijak;41.34556;19.56722;14138;2
Rrëshen;41.7675;19.87556;10064;2
Patos Fshat;40.64278;19.65083;22679;4
Lushnjë;40.94194;19.705;41469;8
Lezhë;41.78361;19.64361;18695;3
Laç;41.63556;19.71306;24825;4
Kuçovë;40.80028;19.91667;18166;3
Krujë;41.50917;19.79278;21286;4
Kavajë;41.18556;19.55694;29354;5
Kamëz;41.38167;19.76028;11026;2
Fushë-Krujë;41.47833;19.71778;10458;2
Fier-Çifçi;40.71667;19.56667;60995;12
Fier;40.72389;19.55611;56297;11
Durrës;41.32306;19.44139;122034;24
Cërrik;41.03167;19.97583;14269;2
Berat;40.70583;19.95222;46866;9
Ballsh;40.59889;19.73472;10361;2
Vedi;39.91421;44.72217;12192;2
Kapan;39.20754;46.40576;33160;6
Goris;39.51288;46.33816;20379;4
Hats’avan;39.46405;45.97047;15208;3
Artashat;39.96144;44.54447;20562;4
Ararat;39.83166;44.70489;28832;5
Yerevan;40.18111;44.51361;1093485;218
Ejmiatsin;40.16557;44.29462;49513;9
Yeghvard;40.32053;44.48138;10705;2
Vardenis;40.18272;45.7311;11382;2
Spitak;40.8322;44.2673;15059;3
Sevan;40.5484;44.94868;17083;3
Masis;40.06762;44.43591;18911;3
Martuni;40.13768;45.3045;11037;2
Vanadzor;40.80456;44.4939;101098;20
Gavarr;40.35398;45.12386;21680;4
Ijevan;40.87832;45.14922;14737;2
Hrazdan;40.49748;44.7662;40795;8
Armavir;40.15446;44.03815;25963;5
Gyumri;40.7942;43.84528;148381;29
Dilijan;40.74103;44.86362;13478;2
Ashtarak;40.2991;44.36204;18779;3
Alaverdi;41.09766;44.67316;13184;2
Abovyan;40.26741;44.62656;35673;7
Saurimo;-9.66078;20.39155;40498;8
Lucapa;-8.41915;20.74466;20115;4
Luau;-10.70727;22.22466;18465;3
Uíge;-7.60874;15.06131;60008;12
Soio;-6.1349;12.36894;67491;13
Nzeto;-7.23116;12.8666;18352;3
Mbanza Congo;-6.26703;14.2401;24220;4
Malanje;-9.54015;16.34096;87046;17
Luanda;-8.83682;13.23432;2776168;555
Caxito;-8.57848;13.66425;28224;5
Camabatela;-8.18812;15.37495;12837;2
Cabinda;-5.55;12.2;66020;13
Uacu Cungo;-11.36343;15.12078;10970;2
Sumbe;-11.20605;13.84371;33277;6
Ondjiva;-17.06667;15.73333;10169;2
Namibe;-15.19611;12.15222;80149;16
Menongue;-14.6585;17.69099;32203;6
Luena;-11.78333;19.91667;21115;4
Lubango;-14.91717;13.4925;102541;20
Longonjo;-12.90667;15.25333;24346;4
Lobito;-12.34806;13.54556;207932;41
Kuito;-12.38333;16.93333;113624;22
Huambo;-12.77611;15.73917;226145;45
Catumbela;-12.43139;13.54722;16977;3
Catabola;-12.15;17.28333;18855;3
Camacupa;-12.01667;17.48333;19150;3
Caluquembe;-13.78333;14.68333;30300;6
Caconda;-13.73333;15.06667;10549;2
Caála;-12.8525;15.56056;21205;4
Benguela;-12.57626;13.40547;151226;30
Zárate;-34.09814;-59.02858;88781;17
Villa Ocampo;-28.48752;-59.35515;19101;3
Villaguay;-31.8653;-59.02689;32027;6
Villa Gesell;-37.26394;-56.97304;23257;4
Veinticinco de Mayo;-27.37679;-54.74312;11928;2
Tigre;-34.42603;-58.57962;31106;6
Tandil;-37.32167;-59.13316;104325;20
San Vicente;-26.61667;-54.13333;38247;7
Santo Tomé;-28.54939;-56.04077;22634;4
Santa Lucía;-28.98746;-59.10287;14056;2
Santa Elena;-30.94768;-59.78696;18410;3
San Salvador;-31.62487;-58.50524;11626;2
San Pedro;-26.62207;-54.10842;23736;4
San Luis del Palmar;-27.5079;-58.55454;15347;3
San Lorenzo;-28.13306;-58.76733;47626;9
San José de Feliciano;-30.38452;-58.75167;11137;2
San Javier;-30.57781;-59.9317;15606;3
San Clemente del Tuyú;-36.35694;-56.72351;11174;2
Saladas;-28.25384;-58.62591;18349;3
Rosario del Tala;-32.30286;-59.14545;13807;2
Retiro;-34.58333;-58.38333;38635;7
Resistencia;-27.46056;-58.98389;387158;77
Reconquista;-29.15;-59.65;90184;18
Quilmes;-34.72418;-58.25265;518788;103
Puerto Rico;-26.79598;-55.02402;17491;3
Puerto Iguazú;-25.59912;-54.57355;32038;6
Puerto Esperanza;-26.01517;-54.67306;15579;3
Puerto Eldorado;-26.40842;-54.69463;54189;10
Presidencia de la Plaza;-27.00147;-59.84243;12231;2
Posadas;-27.36708;-55.89608;312060;62
Pontevedra;-34.74974;-58.68696;33515;6
Pirané;-25.73239;-59.10879;19124;3
Paso de los Libres;-29.71311;-57.08991;43805;8
Pampa del Indio;-26.06468;-59.91898;11588;2
Oberá;-27.48706;-55.11994;56528;11
Necochea;-38.54726;-58.73675;80478;16
Morón;-34.65344;-58.61975;319934;63
Monte Caseros;-30.25359;-57.63626;24671;4
Montecarlo;-26.5662;-54.757;22229;4
Mercedes;-34.65146;-59.43068;52949;10
Mercedes;-29.18186;-58.07895;30649;6
Mar del Plata;-38.00228;-57.55754;553935;110
Luján;-34.57028;-59.105;81749;16
Las Toscas;-28.3529;-59.25795;11811;2
La Plata;-34.92145;-57.95453;694167;138
La Paz;-30.74485;-59.64566;24716;4
La Leonesa;-27.03786;-58.70347;10067;2
Jardín América;-27.04346;-55.22698;24905;4
Gualeguaychú;-33.00938;-58.51722;78676;15
Gualeguay;-33.14156;-59.30966;33120;6
Goya;-29.14003;-59.26256;70245;14
Gobernador Ingeniero Valentín Virasoro;-28.05;-56.03333;28756;5
General José de San Martín;-26.53743;-59.34158;31758;6
Garupá;-27.48171;-55.82921;28814;5
Formosa;-26.17753;-58.17814;221383;44
Fontana;-27.41813;-59.02392;26745;5
Federal;-30.95465;-58.78326;16333;3
Federación;-31.00621;-57.89962;13789;2
Esquina;-30.01444;-59.52719;26399;5
El Soberbio;-27.29846;-54.19877;19571;3
El Colorado;-26.30808;-59.37291;12780;2
Dos de Mayo;-27.02277;-54.68669;14544;2
Dolores;-36.31322;-57.67918;25190;5
Curuzú Cuatiá;-29.79171;-58.0546;36390;7
Corrientes;-27.4806;-58.8341;339067;67
Concordia;-31.39296;-58.02089;145210;29
Concepción del Uruguay;-32.48249;-58.23722;67895;13
Colonia Wanda;-25.97408;-54.42806;12779;2
Colegiales;-34.57365;-58.44924;57000;11
Clorinda;-25.28481;-57.71851;15000;3
Chajarí;-30.75048;-57.97962;30655;6
Candelaria;-27.4595;-55.74536;11039;2
Campo Ramón;-27.46108;-55.01901;10088;2
Campo Grande;-27.2077;-54.97977;12040;2
Campana;-34.16874;-58.95914;81612;16
Buenos Aires;-34.61315;-58.37723;13076300;2615
Bernardo de Irigoyen;-26.2552;-53.64581;10889;2
Barranqueras;-27.48299;-58.93579;50823;10
Azul;-36.77698;-59.85854;53941;10
Avellaneda;-29.11761;-59.65834;23077;4
Aristóbulo del Valle;-27.09625;-54.89626;20683;4
Zapala;-38.89916;-70.05442;31534;6
Yerba Buena;-26.81667;-65.31667;50783;10
Villa Regina;-39.1;-67.06667;31209;6
Villa Paula de Sarmiento;-31.4933;-68.53838;19092;3
Villa Nueva;-32.43293;-63.24763;16841;3
Villa María;-32.40751;-63.24016;92453;18
Villa Dolores;-31.94585;-65.18958;28009;5
Villa Constitución;-33.22778;-60.3297;44271;8
Villa Carlos Paz;-31.42414;-64.49778;69451;13
Villa Berthet;-27.29174;-60.41263;12029;2
Villa Ángela;-27.57383;-60.71526;43511;8
Villa Allende;-31.29458;-64.29538;21683;4
Viedma;-40.81345;-62.99668;48940;9
Victoria;-32.61841;-60.15478;25139;5
Vera;-29.4593;-60.21261;19797;3
Venado Tuerto;-33.74556;-61.96884;72340;14
Veinticinco de Mayo;-35.4323;-60.17271;24668;4
Ushuaia;-54.8;-68.3;58028;11
Unquillo;-31.23073;-64.31615;15369;3
